timestamp,total_damage_dealt
2025-05-09 00:13:49,20
2025-05-09 00:14:05,35
2025-05-09 00:14:07,40
2025-05-09 00:14:13,80
2025-05-09 00:14:25,70
2025-05-09 00:14:42,60
2025-05-09 00:14:44,30
2025-05-09 00:14:46,25
2025-05-09 00:14:51,35
2025-05-09 00:14:55,25
2025-05-09 00:15:01,70
2025-05-09 00:15:08,35
2025-05-09 00:15:13,60
2025-05-09 00:15:14,40
2025-05-09 00:15:17,70
2025-05-09 00:15:47,35
2025-05-09 00:15:53,60
2025-05-09 00:16:01,35
2025-05-09 00:16:08,35
2025-05-09 00:16:11,90
2025-05-09 00:16:16,60
2025-05-09 00:16:24,35
2025-05-09 00:16:46,60
2025-05-09 00:16:48,20
2025-05-09 00:16:57,50
2025-05-09 00:17:16,20
2025-05-09 00:17:36,70
2025-05-09 00:17:47,35
2025-05-09 00:17:50,50
2025-05-09 00:17:51,30
2025-05-09 00:17:52,30
2025-05-09 00:17:55,30
2025-05-09 00:17:57,35
2025-05-09 00:18:01,20
2025-05-09 00:18:02,30
2025-05-09 00:18:05,75
2025-05-09 00:18:06,30
2025-05-09 00:18:11,35
2025-05-09 00:18:14,20
2025-05-09 00:18:15,60
2025-05-09 00:18:18,30
2025-05-09 00:18:19,30
2025-05-09 00:18:21,40
2025-05-09 00:18:24,50
2025-05-09 07:26:09,50
2025-05-09 07:26:13,30
2025-05-09 07:26:18,30
2025-05-09 07:26:19,60
2025-05-09 07:58:28,60
2025-05-09 07:58:40,35
2025-05-09 07:58:46,9
2025-05-09 07:58:48,50
2025-05-09 09:44:24,60
2025-05-09 09:44:44,50
2025-05-09 09:44:46,21
2025-05-09 09:44:57,35
2025-05-09 09:45:00,35
2025-05-09 09:45:01,60
2025-05-09 09:45:03,15
2025-05-09 09:45:07,35
2025-05-09 09:45:11,12
2025-05-09 09:45:13,25
2025-05-09 09:45:14,50
2025-05-09 09:45:18,50
2025-05-09 09:45:37,75
2025-05-09 09:45:42,35
2025-05-09 09:45:48,40
2025-05-09 09:45:50,20
2025-05-09 09:45:52,60
2025-05-09 09:45:55,80
2025-05-09 09:45:58,20
2025-05-09 09:46:08,20
2025-05-09 09:46:10,6
2025-05-09 09:46:14,35
2025-05-09 09:46:16,25
2025-05-09 09:46:18,25
2025-05-09 09:46:19,55
2025-05-09 09:46:21,150
2025-05-09 09:46:33,35
2025-05-09 09:47:02,60
2025-05-09 09:47:07,120
2025-05-09 09:47:28,50
2025-05-09 09:47:31,80
2025-05-09 09:47:44,30
2025-05-09 09:47:49,25
2025-05-09 09:47:52,40
2025-05-09 09:48:00,35
2025-05-09 09:48:02,30
2025-05-09 09:48:05,25
2025-05-09 09:48:09,75
2025-05-09 09:48:13,60
2025-05-09 09:48:18,60
2025-05-09 09:48:22,30
2025-05-09 09:48:32,70
2025-05-09 09:48:34,50
2025-05-09 09:48:37,180
2025-05-09 09:48:38,50
2025-05-09 10:41:43,35
2025-05-09 10:41:46,35
2025-05-09 10:42:00,40
2025-05-09 10:42:02,40
2025-05-09 10:42:10,70
2025-05-09 10:42:18,60
2025-05-09 10:42:26,20
2025-05-09 10:42:27,35
2025-05-09 10:42:34,35
2025-05-09 10:42:35,20
2025-05-09 10:42:43,120
2025-05-09 10:42:52,35
2025-05-09 10:43:00,50
2025-05-09 10:43:01,50
2025-05-09 10:43:13,70
2025-05-09 10:43:16,30
2025-05-09 10:43:17,20
2025-05-09 10:43:21,20
2025-05-09 10:48:25,35
2025-05-09 10:48:42,20
2025-05-09 10:48:47,30
2025-05-09 10:48:48,25
2025-05-09 10:48:51,100
2025-05-09 10:49:04,35
2025-05-09 10:49:04,35
2025-05-09 10:49:09,25
2025-05-09 10:49:11,30
2025-05-09 10:49:24,125
2025-05-09 10:53:11,60
2025-05-09 10:53:12,35
2025-05-09 12:07:42,50
2025-05-09 12:07:50,50
2025-05-09 12:08:08,35
2025-05-09 12:08:11,25
2025-05-09 12:08:21,50
2025-05-09 12:08:23,70
2025-05-09 12:08:27,60
2025-05-09 12:08:34,25
2025-05-09 12:08:36,60
2025-05-09 12:08:37,30
2025-05-09 12:08:40,75
2025-05-09 12:09:01,75
2025-05-09 12:09:02,25
2025-05-09 12:09:05,50
2025-05-09 12:09:55,35
2025-05-09 12:10:01,70
